State,Year,Medicaid_Spending,Median_Income
Massachusetts,2038,55195.65077910153,146903.79468377586
Massachusetts,2039,56357.61686526099,150209.20256645232
Massachusetts,2040,57519.58295142092,153514.61044912878
Massachusetts,2041,58681.54903758038,156820.01833180524
Massachusetts,2042,59843.51512373984,160125.4262144817
Massachusetts,2043,61005.4812098993,163430.83409715816
Massachusetts,2044,62167.44729605876,166736.24197983462
Massachusetts,2045,63329.41338221822,170041.64986251108
Massachusetts,2046,64491.37946837768,173347.05774518754
Massachusetts,2047,65653.34555453714,176652.465627864
Massachusetts,2048,66815.3116406966,179957.87351054046
Massachusetts,2049,67977.27772685606,183263.28139321692
Massachusetts,2050,69139.24381301552,186568.68927589338
Michigan,2021,35453.70119156735,65548.34097158536
Michigan,2022,36913.93125572847,67278.79010082455
Michigan,2023,38374.161319889594,69009.23923006374
Michigan,2024,39834.39138405118,70739.68835930293
Michigan,2025,41294.6214482123,72470.13748854212
Michigan,2026,42754.85151237389,74200.58661778131
Michigan,2027,44215.08157653501,75931.0357470205
Michigan,2028,45675.3116406966,77661.4848762597
Michigan,2029,47135.54170485772,79391.93400549889
Michigan,2030,48595.771769018844,81122.38313473808
Michigan,2031,50056.00183318043,82852.83226397773
Michigan,2032,51516.23189734155,84583.28139321692
Michigan,2033,52976.46196150314,86313.73052245611
Michigan,2034,54436.69202566426,88044.1796516953
Michigan,2035,55896.922089825384,89774.6287809345
Michigan,2036,57357.15215398697,91505.07791017368
Michigan,2037,58817.382218148094,93235.52703941287
Michigan,2038,60277.61228230968,94965.97616865207
Michigan,2039,61737.8423464708,96696.42529789126
Michigan,2040,63198.07241063239,98426.87442713045
Michigan,2041,64658.30247479351,100157.32355636964
Michigan,2042,66118.53253895463,101887.77268560883
Michigan,2043,67578.76260311622,103618.22181484848
Michigan,2044,69038.99266727734,105348.67094408767
Michigan,2045,70499.22273143893,107079.12007332686
Michigan,2046,71959.45279560005,108809.56920256605
Michigan,2047,73419.68285976164,110540.01833180524
Michigan,2048,74879.91292392276,112270.46746104443
Michigan,2049,76340.14298808388,114000.91659028362
Michigan,2050,77800.37305224547,115731.36571952282
Minnesota,2021,25609.628753090743,81854.93465206679
Minnesota,2022,26621.40981342923,84192.12645708304
Minnesota,2023,27633.190873767715,86529.31826209929
Minnesota,2024,28644.9719341062,88866.5100671146
Minnesota,2025,29656.752994444454,91203.70187213086
Minnesota,2026,30668.53405478294,93540.89367714617
Minnesota,2027,31680.315115121426,95878.08548216242
Minnesota,2028,32692.096175459912,98215.27728717867
Minnesota,2029,33703.8772357984,100552.46909219399
Minnesota,2030,34715.658296136884,102889.66089721024
Minnesota,2031,35727.43935647537,105226.85270222556
Minnesota,2032,36739.220416813856,107564.04450724181
Minnesota,2033,37751.00147715234,109901.23631225806
Minnesota,2034,38762.78253749083,112238.42811727338
Minnesota,2035,39774.56359782908,114575.61992228962
Minnesota,2036,40786.34465816757,116912.81172730587
Minnesota,2037,41798.12571850605,119250.00353232119
Minnesota,2038,42809.90677884454,121587.19533733744
Minnesota,2039,43821.687839183025,123924.38714235276
Minnesota,2040,44833.46889952151,126261.57894736901
Minnesota,2041,45845.24995986,128598.77075238526
Minnesota,2042,46857.03102019848,130935.96255740058
Minnesota,2043,47868.81208053697,133273.15436241683
Minnesota,2044,48880.59314087522,135610.34616743308
Minnesota,2045,49892.37420121371,137947.5379724484
Minnesota,2046,50904.155261552194,140284.72977746464
Minnesota,2047,51915.93632189068,142621.92158247996
Minnesota,2048,52927.717382229166,144959.1133874962
Minnesota,2049,53939.49844256765,147296.30519251246
Minnesota,2050,54951.27950290614,149633.49699752778
Mississippi,2021,9999.956003666332,46023.98716773582
Mississippi,2022,10146.769019248371,46998.43263061391
Mississippi,2023,10293.582034830411,47972.87809349201
Mississippi,2024,10440.395050412451,48947.3235563701
Mississippi,2025,10587.208065994491,49921.7690192482
Mississippi,2026,10734.021081576531,50896.21448212629
Mississippi,2027,10880.834097158571,51870.65994500439
Mississippi,2028,11027.647112740611,52845.10540788248
Mississippi,2029,11174.460128322651,53819.55087076058
Mississippi,2030,11321.273143904691,54793.99633363867
Mississippi,2031,11468.086159486673,55768.44179651677
Mississippi,2032,11614.899175068713,56742.88725939486
Mississippi,2033,11761.712190650753,57717.33272227296
Mississippi,2034,11908.525206232793,58691.77818515105
Mississippi,2035,12055.338221814833,59666.22364802915
Mississippi,2036,12202.151237396873,60640.66911090724
Mississippi,2037,12348.964252978913,61615.11457378534
Mississippi,2038,12495.777268560953,62589.56003666343
Mississippi,2039,12642.590284142992,63564.00549954153
Mississippi,2040,12789.403299725032,64538.45096241962
Mississippi,2041,12936.216315307072,65512.89642529772
